Designator,Footprint,Quantity,Value,LCSC Part #
"_14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,14,,
"C15, C16, C21",0402,3,10uF,
C35,0603,1,1uF,
"C36, C37",0603,2,100nF,
"C38, C39",0805,2,10uF,
C40,0603,1,22pF,
"C41, C44, C45, C46",0805,4,22uF,
"D11_9, D11_8, D11_7, D11_6, D11_5, D11_4, D11_3, D11_2, D11",WL-SMCW_0603,9,WL-SMCW_0603,
"D3, D4",DIO_PMEG3050EP_115,2,PMEG3050EP_115,
L11,WE-MAIA_4020,1,WE-MAIA_4020,
"R10, R4, R5",0603,3,100k,
R11,0603,1,150k,C25755
"R15_9, R15_8, R15_7, R15_6, R15_5, R15_4, R15_3, R15_2, R15",0402,9,100,
R21,0402,1,0,
R4_2,0402,1,100k,
"R6, R7",0603,2,10k,
U14,QFN50P400X350X100-17N,1,TXB0106RGYR,
U4,SON_DFN6_3X3_STM-L,1,LD39200PU33R,
U7,VQFN-HR12_RJN_TEX,1,TPS51386RJNR,
